name	salary
DeBrusk, Jake	$5,500,000
Garland, Conor	$4,950,000
Joshua, Dakota	$3,250,000
Heinen, Danton	$2,250,000
Blueger, Teddy	$1,800,000
Suter, Pius	$1,600,000
Sherwood, Kiefer	$1,500,000
Hoglander, Nils	$1,100,000
Sprong, Daniel	$975,000
Raty, Aatu	$836,667
Aman, Nils	$825,000
Hughes, Quinn	$7,850,000
Hronek, Filip	$7,250,000
Soucy, Carson	$3,250,000
Myers, Tyler	$3,000,000
Desharnais, Vincent	$2,000,000
Forbort, Derek	$1,500,000
Juulsen, Noah	$775,000
Friedman, Mark	$775,000
Demko, Thatcher	$5,000,000
Lankinen, Kevin	$875,000
Silovs, Arturs	$850,000
Eichel, Jack	$10,000,000
Stone, Mark	$9,500,000
Hertl, Tomas	$6,750,000
Karlsson, William	$5,900,000
Barbashev, Ivan	$5,000,000
Roy, Nicolas	$3,000,000
Howden, Brett	$1,900,000
Dorofeyev, Pavel	$1,835,000
Kolesar, Keegan	$1,400,000
Olofsson, Victor	$1,075,000
Brisson, Brendan	$925,000
Holtz, Alexander	$894,167
Schwindt, Cole	$800,000
Pearson, Tanner	$775,000
Pietrangelo, Alex	$8,800,000
Hanifin, Noah	$7,350,000
Theodore, Shea	$5,200,000
McNabb, Brayden	$2,850,000
Whitecloud, Zach	$2,750,000
Hague, Nicolas	$2,294,150
Hutton, Ben	$975,000
Kmec, Viliam	$975,000
Korczak, Kaedan	$825,000
Hill, Adin	$4,900,000
Samsonov, Ilya	$1,800,000
Ovechkin, Alex	$9,500,000
Dubois, Pierre-Luc	$8,500,000
Wilson, Tom	$6,500,000
Mangiapane, Andrew	$5,800,000
Strome, Dylan	$5,000,000
Protas, Aliaksei	$3,375,000
McMichael, Connor	$2,100,000
Milano, Sonny	$1,900,000
Duhaime, Brandon	$1,850,000
Dowd, Nic	$1,300,000
Raddysh, Taylor	$1,000,000
Lapierre, Hendrix	$863,333
Vrana, Jakub	$775,000
Carlson, John	$8,000,000
Roy, Matt	$5,750,000
Chychrun, Jakob	$4,600,000
Sandin, Rasmus	$4,600,000
van Riemsdyk, Trevor	$3,000,000
Fehervary, Martin	$2,675,000
Lindgren, Charlie	$1,100,000
Thompson, Logan	$766,667
Scheifele, Mark	$8,500,000
Connor, Kyle	$7,142,857
Ehlers, Nikolaj	$6,000,000
Niederreiter, Nino	$4,000,000
Iafallo, Alex	$4,000,000
Vilardi, Gabriel	$3,437,500
Perfetti, Cole	$3,250,000
Lowry, Adam	$3,250,000
Appleton, Mason	$2,166,667
Namestnikov, Vladislav	$2,000,000
Barron, Morgan	$1,350,000
Kupari, Rasmus	$1,000,000
Gustafsson, David	$835,000
Morrissey, Josh	$6,250,000
Pionk, Neal	$5,875,000
DeMelo, Dylan	$4,900,000
Miller, Colin	$1,500,000
Samberg, Dylan	$1,400,000
Stanley, Logan	$1,250,000
Heinola, Ville	$800,000
Coghlan, Dylan	$775,000
Fleury, Haydn	$775,000
Hellebuyck, Connor	$8,500,000
Kahkonen, Kaapo	$1,000,000
Comrie, Eric	$825,000
Keller, Clayton	$7,150,000
Schmaltz, Nick	$5,850,000
Crouse, Lawson	$4,300,000
Kerfoot, Alex	$3,500,000
Maccelli, Matias	$3,425,000
Hayton, Barrett	$2,650,000
Bjugstad, Nick	$2,100,000
Stenlund, Kevin	$2,000,000
McBain, Jack	$1,599,999
O'Brien, Liam	$1,000,000
Cooley, Logan	$950,000
Doan, Josh	$925,000
Guenther, Dylan	$894,167
Yamamoto, Kailer	$775,000
Carcone, Michael	$775,000
Sergachev, Mikhail	$8,500,000
Durzi, Sean	$6,000,000
Marino, John	$4,400,000
Cole, Ian	$3,100,000
Valimaki, Juuso	$2,000,000
Kesselring, Michael	$1,400,000
Kolyachonok, Vladislav	$775,000
Bortuzzo, Robert	$775,000
Vejmelka, Karel	$2,725,000
Ingram, Connor	$1,950,000
